batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
Mumbai Indians,Delhi Capitals,Mumbai,151.0,116.0,0,160.0,13.5,7.81,1
Rajasthan Royals,Chennai Super Kings,Mumbai,136.0,119.0,3,151.0,90.0,6.86,1
Rajasthan Royals,Chennai Super Kings,Mumbai,135.0,118.0,2,151.0,48.0,6.86,1
Rajasthan Royals,Chennai Super Kings,Mumbai,135.0,117.0,1,151.0,32.0,6.92,1
Rajasthan Royals,Chennai Super Kings,Mumbai,135.0,116.0,0,151.0,24.0,6.98,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,163.0,119.0,3,169.0,36.0,8.22,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,163.0,118.0,2,169.0,18.0,8.29,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,162.0,117.0,1,169.0,14.0,8.31,1
Royal Challengers Bangalore,Gujarat Titans,Mumbai,162.0,116.0,0,169.0,10.5,8.38,1
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211.0,125.0,9,211.0,-0.0,10.13,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211.0,124.0,8,211.0,-0.0,10.21,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211.0,123.0,7,211.0,-0.0,10.29,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,211.0,122.0,6,211.0,-0.0,10.38,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207.0,119.0,3,211.0,24.0,10.44,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,207.0,118.0,2,211.0,12.0,10.53,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203.0,117.0,1,211.0,16.0,10.41,0
Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,203.0,116.0,0,211.0,12.0,10.5,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,192.0,119.0,3,194.0,12.0,9.68,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,191.0,119.0,2,194.0,18.0,9.63,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,190.0,118.0,1,194.0,12.0,9.66,0
Mumbai Indians,Sunrisers Hyderabad,Mumbai,190.0,117.0,0,194.0,8.0,9.74,0
Punjab Kings,Delhi Capitals,Navi Mumbai,160.0,125.0,9,160.0,-0.0,7.68,0
Punjab Kings,Delhi Capitals,Navi Mumbai,153.0,119.0,3,160.0,42.0,7.71,0
Punjab Kings,Delhi Capitals,Navi Mumbai,149.0,118.0,2,160.0,33.0,7.58,0
Punjab Kings,Delhi Capitals,Navi Mumbai,148.0,117.0,1,160.0,24.0,7.59,0
Punjab Kings,Delhi Capitals,Navi Mumbai,148.0,116.0,0,160.0,18.0,7.66,0
Lucknow Super Giants,Rajasthan Royals,Mumbai,172.0,119.0,3,179.0,42.0,8.67,0
Lucknow Super Giants,Rajasthan Royals,Mumbai,172.0,118.0,2,179.0,21.0,8.75,0
Lucknow Super Giants,Rajasthan Royals,Mumbai,171.0,117.0,1,179.0,16.0,8.77,0
Lucknow Super Giants,Rajasthan Royals,Mumbai,170.0,116.0,0,179.0,13.5,8.79,0
Gujarat Titans,Chennai Super Kings,Mumbai,134.0,125.0,9,134.0,-0.0,6.43,1
Gujarat Titans,Chennai Super Kings,Mumbai,122.0,119.0,3,134.0,72.0,6.15,1
Gujarat Titans,Chennai Super Kings,Mumbai,121.0,118.0,2,134.0,39.0,6.15,1
Gujarat Titans,Chennai Super Kings,Mumbai,117.0,117.0,1,134.0,34.0,6.0,1
Gujarat Titans,Chennai Super Kings,Mumbai,117.0,116.0,0,134.0,25.5,6.05,1
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178.0,125.0,9,178.0,-0.0,8.54,0
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,178.0,124.0,8,178.0,-0.0,8.61,0
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,173.0,119.0,3,178.0,30.0,8.72,0
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,173.0,118.0,2,178.0,15.0,8.8,0
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,172.0,117.0,1,178.0,12.0,8.82,0
Sunrisers Hyderabad,Kolkata Knight Riders,Pune,171.0,116.0,0,178.0,10.5,8.84,0
Royal Challengers Bangalore,Punjab Kings,Mumbai,203.0,119.0,3,210.0,42.0,10.24,0
Royal Challengers Bangalore,Punjab Kings,Mumbai,202.0,119.0,2,210.0,48.0,10.18,0
Royal Challengers Bangalore,Punjab Kings,Mumbai,202.0,118.0,1,210.0,24.0,10.27,0
Royal Challengers Bangalore,Punjab Kings,Mumbai,198.0,117.0,0,210.0,24.0,10.15,0
Mumbai Indians,Chennai Super Kings,Mumbai,98.0,125.0,9,98.0,-0.0,4.7,1
Mumbai Indians,Chennai Super Kings,Mumbai,92.0,119.0,3,98.0,36.0,4.64,1
Mumbai Indians,Chennai Super Kings,Mumbai,92.0,118.0,2,98.0,18.0,4.68,1
Mumbai Indians,Chennai Super Kings,Mumbai,92.0,117.0,1,98.0,12.0,4.72,1
Mumbai Indians,Chennai Super Kings,Mumbai,88.0,116.0,0,98.0,15.0,4.55,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,161.0,125.0,9,161.0,-0.0,7.73,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,161.0,124.0,8,161.0,-0.0,7.79,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,161.0,123.0,7,161.0,-0.0,7.85,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,160.0,119.0,3,161.0,6.0,8.07,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,160.0,118.0,2,161.0,3.0,8.14,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,160.0,117.0,1,161.0,2.0,8.21,1
Delhi Capitals,Rajasthan Royals,Navi Mumbai,160.0,116.0,0,161.0,1.5,8.28,1
Lucknow Super Giants,Gujarat Titans,Pune,145.0,125.0,9,145.0,-0.0,6.96,0
Lucknow Super Giants,Gujarat Titans,Pune,142.0,119.0,3,145.0,18.0,7.16,0
Lucknow Super Giants,Gujarat Titans,Pune,140.0,118.0,2,145.0,15.0,7.12,0
Lucknow Super Giants,Gujarat Titans,Pune,140.0,117.0,1,145.0,10.0,7.18,0
Lucknow Super Giants,Gujarat Titans,Pune,140.0,116.0,0,145.0,7.5,7.24,0
Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,166.0,125.0,9,166.0,-0.0,7.97,0
Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,164.0,119.0,3,166.0,12.0,8.27,0
Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160.0,118.0,2,166.0,18.0,8.14,0
Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160.0,117.0,1,166.0,12.0,8.21,0
Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,160.0,116.0,0,166.0,9.0,8.28,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,209.0,125.0,9,209.0,-0.0,10.03,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,209.0,124.0,8,209.0,-0.0,10.11,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,209.0,123.0,7,209.0,-0.0,10.2,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,209.0,122.0,6,209.0,-0.0,10.28,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,197.0,119.0,3,209.0,72.0,9.93,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,193.0,118.0,2,209.0,48.0,9.81,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,193.0,117.0,1,209.0,32.0,9.9,0
Delhi Capitals,Chennai Super Kings,Navi Mumbai,193.0,116.0,0,209.0,24.0,9.98,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,193.0,125.0,9,193.0,-0.0,9.26,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,193.0,124.0,8,193.0,-0.0,9.34,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191.0,119.0,3,193.0,12.0,9.63,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191.0,118.0,2,193.0,6.0,9.71,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191.0,117.0,1,193.0,4.0,9.79,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,191.0,116.0,0,193.0,3.0,9.88,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,125.0,9,177.0,-0.0,8.5,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,124.0,8,177.0,-0.0,8.56,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,123.0,7,177.0,-0.0,8.63,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,122.0,6,177.0,-0.0,8.7,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,121.0,5,177.0,-0.0,8.78,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,119.0,3,177.0,0.0,8.92,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,177.0,118.0,2,177.0,0.0,9.0,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,175.0,117.0,1,177.0,4.0,8.97,0
Kolkata Knight Riders,Lucknow Super Giants,Pune,175.0,116.0,0,177.0,3.0,9.05,0
Rajasthan Royals,Punjab Kings,Mumbai,190.0,125.0,9,190.0,-0.0,9.12,1
Rajasthan Royals,Punjab Kings,Mumbai,190.0,124.0,8,190.0,-0.0,9.19,1
Rajasthan Royals,Punjab Kings,Mumbai,175.0,119.0,3,190.0,90.0,8.82,1
Rajasthan Royals,Punjab Kings,Mumbai,174.0,118.0,2,190.0,48.0,8.85,1
Rajasthan Royals,Punjab Kings,Mumbai,174.0,117.0,1,190.0,32.0,8.92,1
Rajasthan Royals,Punjab Kings,Mumbai,170.0,116.0,0,190.0,30.0,8.79,1
Gujarat Titans,Mumbai Indians,Mumbai,178.0,125.0,9,178.0,-0.0,8.54,0
Gujarat Titans,Mumbai Indians,Mumbai,178.0,124.0,8,178.0,-0.0,8.61,0
Gujarat Titans,Mumbai Indians,Mumbai,178.0,123.0,7,178.0,-0.0,8.68,0
Gujarat Titans,Mumbai Indians,Mumbai,178.0,122.0,6,178.0,-0.0,8.75,0
Gujarat Titans,Mumbai Indians,Mumbai,173.0,119.0,3,178.0,30.0,8.72,0
Gujarat Titans,Mumbai Indians,Mumbai,173.0,118.0,2,178.0,15.0,8.8,0
Gujarat Titans,Mumbai Indians,Mumbai,173.0,117.0,1,178.0,10.0,8.87,0
Gujarat Titans,Mumbai Indians,Mumbai,167.0,116.0,0,178.0,16.5,8.64,0
Sunrisers Hyderabad,Delhi Capitals,Mumbai,208.0,125.0,9,208.0,-0.0,9.98,0
Sunrisers Hyderabad,Delhi Capitals,Mumbai,204.0,119.0,3,208.0,24.0,10.29,0
Sunrisers Hyderabad,Delhi Capitals,Mumbai,204.0,119.0,2,208.0,24.0,10.29,0
Sunrisers Hyderabad,Delhi Capitals,Mumbai,200.0,118.0,1,208.0,24.0,10.17,0
Sunrisers Hyderabad,Delhi Capitals,Mumbai,200.0,117.0,0,208.0,16.0,10.26,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,174.0,125.0,9,174.0,-0.0,8.35,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,164.0,119.0,3,174.0,60.0,8.27,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,163.0,118.0,2,174.0,33.0,8.29,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,163.0,117.0,1,174.0,22.0,8.36,0
Chennai Super Kings,Royal Challengers Bangalore,Pune,163.0,116.0,0,174.0,16.5,8.43,0
Punjab Kings,Gujarat Titans,Navi Mumbai,144.0,125.0,9,144.0,-0.0,6.91,1
Punjab Kings,Gujarat Titans,Navi Mumbai,144.0,124.0,8,144.0,-0.0,6.97,1
Punjab Kings,Gujarat Titans,Navi Mumbai,144.0,123.0,7,144.0,-0.0,7.02,1
Punjab Kings,Gujarat Titans,Navi Mumbai,138.0,119.0,3,144.0,36.0,6.96,1
Punjab Kings,Gujarat Titans,Navi Mumbai,134.0,118.0,2,144.0,30.0,6.81,1
Punjab Kings,Gujarat Titans,Navi Mumbai,134.0,117.0,1,144.0,20.0,6.87,1
Punjab Kings,Gujarat Titans,Navi Mumbai,134.0,116.0,0,144.0,15.0,6.93,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,147.0,119.0,3,153.0,36.0,7.41,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,147.0,119.0,2,153.0,36.0,7.41,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,143.0,118.0,1,153.0,30.0,7.27,1
Kolkata Knight Riders,Rajasthan Royals,Mumbai,143.0,117.0,0,153.0,20.0,7.33,1
Sunrisers Hyderabad,Chennai Super Kings,Pune,203.0,125.0,9,203.0,-0.0,9.74,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,203.0,124.0,8,203.0,-0.0,9.82,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,193.0,119.0,3,203.0,60.0,9.73,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,189.0,118.0,2,203.0,42.0,9.61,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,188.0,117.0,1,203.0,30.0,9.64,0
Sunrisers Hyderabad,Chennai Super Kings,Pune,186.0,116.0,0,203.0,25.5,9.62,0
Delhi Capitals,Lucknow Super Giants,Mumbai,196.0,125.0,9,196.0,-0.0,9.41,0
Delhi Capitals,Lucknow Super Giants,Mumbai,196.0,124.0,8,196.0,-0.0,9.48,0
Delhi Capitals,Lucknow Super Giants,Mumbai,196.0,123.0,7,196.0,-0.0,9.56,0
Delhi Capitals,Lucknow Super Giants,Mumbai,196.0,122.0,6,196.0,-0.0,9.64,0
Delhi Capitals,Lucknow Super Giants,Mumbai,191.0,119.0,3,196.0,30.0,9.63,0
Delhi Capitals,Lucknow Super Giants,Mumbai,191.0,118.0,2,196.0,15.0,9.71,0
Delhi Capitals,Lucknow Super Giants,Mumbai,191.0,117.0,1,196.0,10.0,9.79,0
Delhi Capitals,Lucknow Super Giants,Mumbai,187.0,116.0,0,196.0,13.5,9.67,0
Mumbai Indians,Rajasthan Royals,Navi Mumbai,147.0,119.0,3,159.0,72.0,7.41,1
Mumbai Indians,Rajasthan Royals,Navi Mumbai,147.0,119.0,2,159.0,72.0,7.41,1
Mumbai Indians,Rajasthan Royals,Navi Mumbai,146.0,118.0,1,159.0,39.0,7.42,1
Mumbai Indians,Rajasthan Royals,Navi Mumbai,146.0,117.0,0,159.0,26.0,7.49,1
Gujarat Titans,Royal Challengers Bangalore,Mumbai,159.0,119.0,3,171.0,72.0,8.02,1
Gujarat Titans,Royal Challengers Bangalore,Mumbai,158.0,118.0,2,171.0,39.0,8.03,1
Gujarat Titans,Royal Challengers Bangalore,Mumbai,157.0,117.0,1,171.0,28.0,8.05,1
Gujarat Titans,Royal Challengers Bangalore,Mumbai,153.0,116.0,0,171.0,27.0,7.91,1
Punjab Kings,Lucknow Super Giants,Pune,154.0,125.0,9,154.0,-0.0,7.39,0
Punjab Kings,Lucknow Super Giants,Pune,150.0,119.0,3,154.0,24.0,7.56,0
Punjab Kings,Lucknow Super Giants,Pune,150.0,118.0,2,154.0,12.0,7.63,0
Punjab Kings,Lucknow Super Giants,Pune,149.0,117.0,1,154.0,10.0,7.64,0
Punjab Kings,Lucknow Super Giants,Pune,149.0,116.0,0,154.0,7.5,7.71,0
Delhi Capitals,Kolkata Knight Riders,Mumbai,147.0,125.0,9,147.0,-0.0,7.06,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,134.0,119.0,3,147.0,78.0,6.76,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,130.0,118.0,2,147.0,51.0,6.61,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,130.0,117.0,1,147.0,34.0,6.67,1
Delhi Capitals,Kolkata Knight Riders,Mumbai,130.0,116.0,0,147.0,25.5,6.72,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,196.0,125.0,9,196.0,-0.0,9.41,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,196.0,124.0,8,196.0,-0.0,9.48,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,196.0,123.0,7,196.0,-0.0,9.56,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,193.0,119.0,3,196.0,18.0,9.73,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,189.0,118.0,2,196.0,21.0,9.61,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,183.0,117.0,1,196.0,26.0,9.38,1
Gujarat Titans,Sunrisers Hyderabad,Mumbai,182.0,116.0,0,196.0,21.0,9.41,1
Royal Challengers Bangalore,Rajasthan Royals,Pune,145.0,125.0,9,145.0,-0.0,6.96,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,145.0,124.0,8,145.0,-0.0,7.02,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,145.0,123.0,7,145.0,-0.0,7.07,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,136.0,119.0,3,145.0,54.0,6.86,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,136.0,118.0,2,145.0,27.0,6.92,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,136.0,117.0,1,145.0,18.0,6.97,0
Royal Challengers Bangalore,Rajasthan Royals,Pune,135.0,116.0,0,145.0,15.0,6.98,0
Chennai Super Kings,Punjab Kings,Mumbai,188.0,125.0,9,188.0,-0.0,9.02,0
Chennai Super Kings,Punjab Kings,Mumbai,178.0,119.0,3,188.0,60.0,8.97,0
Chennai Super Kings,Punjab Kings,Mumbai,178.0,118.0,2,188.0,30.0,9.05,0
Chennai Super Kings,Punjab Kings,Mumbai,178.0,117.0,1,188.0,20.0,9.13,0
Chennai Super Kings,Punjab Kings,Mumbai,178.0,116.0,0,188.0,15.0,9.21,0
Mumbai Indians,Lucknow Super Giants,Mumbai,169.0,125.0,9,169.0,-0.0,8.11,0
Mumbai Indians,Lucknow Super Giants,Mumbai,162.0,119.0,3,169.0,42.0,8.17,0
Mumbai Indians,Lucknow Super Giants,Mumbai,158.0,118.0,2,169.0,33.0,8.03,0
Mumbai Indians,Lucknow Super Giants,Mumbai,158.0,119.0,1,169.0,66.0,7.97,0
Mumbai Indians,Lucknow Super Giants,Mumbai,158.0,118.0,0,169.0,33.0,8.03,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69.0,125.0,9,69.0,-0.0,3.31,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69.0,124.0,8,69.0,-0.0,3.34,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,69.0,123.0,7,69.0,-0.0,3.37,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67.0,119.0,3,69.0,12.0,3.38,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67.0,119.0,2,69.0,12.0,3.38,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67.0,118.0,1,69.0,6.0,3.41,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,67.0,117.0,0,69.0,4.0,3.44,1
Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,157.0,125.0,9,157.0,-0.0,7.54,0
Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,152.0,119.0,3,157.0,30.0,7.66,0
Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,148.0,119.0,2,157.0,54.0,7.46,0
Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,148.0,118.0,1,157.0,27.0,7.53,0
Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,147.0,117.0,0,157.0,20.0,7.54,0
Delhi Capitals,Rajasthan Royals,Mumbai,211.0,119.0,3,223.0,72.0,10.64,0
Delhi Capitals,Rajasthan Royals,Mumbai,211.0,118.0,2,223.0,36.0,10.73,0
Delhi Capitals,Rajasthan Royals,Mumbai,211.0,117.0,1,223.0,24.0,10.82,0
Delhi Capitals,Rajasthan Royals,Mumbai,210.0,116.0,0,223.0,19.5,10.86,0
Chennai Super Kings,Mumbai Indians,Navi Mumbai,156.0,125.0,9,156.0,-0.0,7.49,1
Chennai Super Kings,Mumbai Indians,Navi Mumbai,147.0,119.0,3,156.0,54.0,7.41,1
Chennai Super Kings,Mumbai Indians,Navi Mumbai,146.0,119.0,2,156.0,60.0,7.36,1
Chennai Super Kings,Mumbai Indians,Navi Mumbai,145.0,118.0,1,156.0,33.0,7.37,1
Chennai Super Kings,Mumbai Indians,Navi Mumbai,144.0,117.0,0,156.0,24.0,7.38,1
Delhi Capitals,Punjab Kings,Mumbai,101.0,119.0,3,116.0,90.0,5.09,1
Delhi Capitals,Punjab Kings,Mumbai,101.0,118.0,2,116.0,45.0,5.14,1
Delhi Capitals,Punjab Kings,Mumbai,97.0,117.0,1,116.0,38.0,4.97,1
Delhi Capitals,Punjab Kings,Mumbai,96.0,116.0,0,116.0,30.0,4.97,1
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,182.0,125.0,9,182.0,-0.0,8.74,0
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,172.0,119.0,3,182.0,60.0,8.67,0
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,171.0,118.0,2,182.0,33.0,8.69,0
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,169.0,117.0,1,182.0,26.0,8.67,0
Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,169.0,116.0,0,182.0,19.5,8.74,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,218.0,125.0,9,218.0,-0.0,10.46,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,208.0,119.0,3,218.0,60.0,10.49,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,208.0,118.0,2,218.0,30.0,10.58,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,207.0,117.0,1,218.0,22.0,10.62,0
Kolkata Knight Riders,Rajasthan Royals,Mumbai,203.0,116.0,0,218.0,22.5,10.5,0
Gujarat Titans,Chennai Super Kings,Pune,170.0,125.0,9,170.0,-0.0,8.16,1
Gujarat Titans,Chennai Super Kings,Pune,170.0,124.0,8,170.0,-0.0,8.23,1
Gujarat Titans,Chennai Super Kings,Pune,170.0,123.0,7,170.0,-0.0,8.29,1
Gujarat Titans,Chennai Super Kings,Pune,170.0,122.0,6,170.0,-0.0,8.36,1
Gujarat Titans,Chennai Super Kings,Pune,168.0,119.0,3,170.0,12.0,8.47,1
Gujarat Titans,Chennai Super Kings,Pune,168.0,118.0,2,170.0,6.0,8.54,1
Gujarat Titans,Chennai Super Kings,Pune,168.0,117.0,1,170.0,4.0,8.62,1
Gujarat Titans,Chennai Super Kings,Pune,167.0,116.0,0,170.0,4.5,8.64,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,146.0,119.0,3,152.0,36.0,7.36,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,146.0,118.0,2,152.0,18.0,7.42,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,146.0,117.0,1,152.0,12.0,7.49,1
Sunrisers Hyderabad,Punjab Kings,Mumbai,146.0,116.0,0,152.0,9.0,7.55,1
Delhi Capitals,Royal Challengers Bangalore,Mumbai,181.0,119.0,3,190.0,54.0,9.13,0
Delhi Capitals,Royal Challengers Bangalore,Mumbai,179.0,118.0,2,190.0,33.0,9.1,0
Delhi Capitals,Royal Challengers Bangalore,Mumbai,178.0,117.0,1,190.0,24.0,9.13,0
Delhi Capitals,Royal Challengers Bangalore,Mumbai,177.0,116.0,0,190.0,19.5,9.16,0
Mumbai Indians,Lucknow Super Giants,Mumbai,194.0,119.0,3,200.0,36.0,9.78,0
Mumbai Indians,Lucknow Super Giants,Mumbai,193.0,118.0,2,200.0,21.0,9.81,0
